date,position,city,state,endorser,endorsee,endorser_party,source,order,category,body,district,points
NA,DNC member,NA,MD,Yvette W. Lewis,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Bel W. Leong-Hong,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Tefere Gebre,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Maya Rockeymoore Cummings,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Maria C. Cordone,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,Susan Thomson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,James Roosevelt Jr.,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,Melvin Poindexter,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,David M. O'Brien,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,Debra Kozikowski,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,Elaine C. Kamarck,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MA,Gus Bickford,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,LA,Arlanda Williams,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,LA,Karen Carter Peterson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,LA,Arthur Morrell,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,LA,Michael McHale,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,LA,Deborah J. Langhoff,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KY,Nathan Gene Smith,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KY,Ben Self,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KY,Charlotte Lundergan,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KY,Susanna French,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KY,Cassie Chambers Armstrong,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KS,Christopher T. Reeves,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KS,Teresa Garcia Krusor,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KS,Brandon Johnson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,KS,Vicki Hiatt,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IN,John C. Zody,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IN,S. Anthony Long,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IN,Cordelia M. Lewis-Burks,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IN,Cindy S. Henry,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IN,David a Frye,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Karen A. Yarbrough,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Becky Strezchowski,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Carol Ronen,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Jayne Mazzotti,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Iris Y. Martinez,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Victoria R. Koffsky,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Daniel W. Hynes,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,John J. Cullerton,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Jerry F. Costello,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IL,Carrie Austin,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ID,Jerry C. Shriner,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ID,Jesse Maldonado,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ID,Paulette Jordan,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ID,Susan S. Eastlake,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ID,Evangeline M. Beechler,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IA,Troy M. Price,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IA,Andrea Phillips,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IA,Sandy Opstvedt,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IA,Scott M. Brennan,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,IA,Jan M. Bauer,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,HI,Kathleen G. Stanley,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,HI,Keali'i Lopez,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,HI,Gary Hooser,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,HI,Bart E. Dame,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GU,Taling Taitano,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GU,Rory Respicio,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GU,Regine Biscoe Lee,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GU,Jon Junior Calvo,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Nikema Williams,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Ted Terry,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Pamela Stephenson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Sally S. Rosser,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Richard A. Ray,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Sheikh M. Rahman,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Daniel J. Halpern,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Louis Elrod,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,GA,Wendy Davis,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,FL,Craig Smith,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,FL,Casmore Shaw,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,FL,Terrie Lorraine Rizzo,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,FL,John A. Ramos,NA,D,NA,NA,DNC members,NA,NA,1
