state,name,date,open,high,low,close,volume
NH,Republican,2019-08-28,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-08-28,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-29,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-08-29,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-30,0.23,0.26,0.23,0.26,2
NH,Democratic,2019-08-30,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-31,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-08-31,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-01,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-09-01,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-02,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-09-02,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-03,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-09-03,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-04,0.26,0.26,0.23,0.23,127
NH,Democratic,2019-09-04,0.77,0.77,0.76,0.77,275
NH,Republican,2019-09-05,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-09-05,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-06,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-09-06,0.77,0.7799999999999999,0.77,0.7799999999999999,1
NH,Republican,2019-09-07,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-09-07,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-09-08,0.23,0.26,0.23,0.26,52
NH,Democratic,2019-09-08,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-09-09,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-09-09,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-09-10,0.26,0.26,0.23,0.23,50
NH,Democratic,2019-09-10,0.7799999999999999,0.7799999999999999,0.77,0.7799999999999999,96
NH,Republican,2019-09-11,0.23,0.23,0.23,0.23,25
NH,Democratic,2019-09-11,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-09-12,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-09-12,0.7799999999999999,0.7799999999999999,0.77,0.77,160
NH,Republican,2019-09-13,0.23,0.25,0.23,0.23,113
